dept
"Escambia County Sheriff's Office, AL"
"New Ulm Police Department, MN"
"Bingham City Police Department, UT"
"Henrico County Police Department, VA"
"Echo Constable's Office, UT"
"Uinta County Sheriff's Office, WY"
"Telluride Marshal's Office, CO"
"Victor Marshal's Office, CO"
"Dade County Sheriff's Department, FL"
"Grand Rapids Police Department, MI"
"Girard Marshal's Office, AL"
"Tampa Police Department, FL"
"San Elizario Police Department, TX"
"Glouster Police Department, OH"
"Elizabethtown Police Department, KY"
"Tiffin Police Department, OH"
"Great Falls Police Department, MT"
"San Joaquin County Sheriff's Office, CA"
"Harris County Sheriff's Office, TX"
"New Jersey State Reform School, NJ"
"Orleans Police Department, IN"
"Shasta County Constable's Office, CA"
"Weimar Police Department, TX"
"Providence Police Department, KY"
"Danville Sheriff's Office, VA"
"Pike County Sheriff's Office, GA"
"Piedmont Police Department, MO"
"Gilpin County Sheriff's Office, CO"
"Parke County Sheriff's Department, IN"
"Harrodsburg Police Department, KY"
"North Baltimore Police Department, OH"
"McLeod County Sheriff's Department, MN"
"Colorado Springs Police Department, CO"
"Adairville Police Department, KY"
"Fayette County Constable's Office - Precinct 5, TX"
"Vallejo Police Department, CA"
"Danbury Police Department, CT"
"Table Rock Marshal's Office, NE"
"Mexia Police Department, TX"
"Dubuque Police Department, IA"
"Morning Sun Police Department, IA"
"Bancroft Police Department, IA"
"Owensboro Police Department, KY"
"Joliet Police Department, IL"
"Erie County Department of Corrections, PA"
"Cynthiana Police Department, KY"
"Mississippi County Sheriff's Department, MO"
"Watsonville Police Department, CA"
"Eddy County Sheriff's Department, NM"
"Denton County Sheriff's Office, TX"
"Harrison Police Department, NJ"
"Union County Sheriff's Department, NM"
"Union County Constable's Office, KY"
"Monroe County Sheriff's Office, KY"
"Ullin Police Department, IL"
"Wise County Constable's Office, VA"
"Lake County Sheriff's Office, CO"
"Queens County Sheriff's Department, NY"
"Rapides Parish Constable's Office, LA"
"New York State Environmental Conservation Police, NY"
"Orangeburg Department of Public Safety, SC"
"Minnesota Department of Natural Resources - Enforcement Division, MN"
"Washington County Convict Farm, TX"
"Siskiyou County Sheriff's Department, CA"
"Dobbs Ferry Police Department, NY"
"Riley County Sheriff's Office, KS"
"Independence Police Department, IA"
"Franklin County Sheriff's Office, KY"
"DeSoto Police Department, MO"
"Erath County Constable's Office - Precinct 2, TX"
"New York City Police Department, NY"
"Wayne County Sheriff's Department, MO"
"Findlay Police Department, OH"
"LaFollette Police Department, TN"
"Pennsylvania State Constable - Bucks County, PA"
"Rutherford County Constable's Office, NC"
"Magoffin County Sheriff's Office, KY"
"Marysville Police Department, KS"
"Grimes County Constable's Office - Precinct 7, TX"
"Glen Campbell Borough Police Department, PA"
"Pittsfield Police Department, MA"
"Clarksville Police Department, MO"
"East Alton Police Department, IL"
"Alameda County Sheriff's Office, CA"
"Hoboken Police Department, NJ"
"Colorado County Constable's Office - Precinct 1, TX"
"Summit County Sheriff's Office, CO"
"Wichita County Constable's Office - Precinct 1, TX"
"Claiborne County Sheriff's Office, TN"
"Williamson County Constable's Office - Precinct 6, TX"
"Pennsylvania State Constable - Somerset County, PA"
"Princess Anne County, VA"
"Kirkwood Police Department, MO"
"Pennsylvania State Constable - Schuylkill County, PA"
"Bolivar Police Department, MO"
"Fayette County Sheriff's Office, TX"
"Ruston Police Department, LA"
"Fond du Lac Police Department, WI"
"Chicago and Northwestern Railroad Police Department, RR"
"Cook County Sheriff's Office - Department of Court Services, IL"
"Slaughtersville Marshal's Office, KY"
"Dawson County Sheriff's Office, MT"
"Hartford Police Department, KY"
"Henderson County Constable's Office - Precinct 6, TX"
"Clatsop County Sheriff's Office, OR"
"Barbourville Police Department, KY"
"Somerville Police Department, NJ"
"Fairbury Police Department, IL"
"Hot Springs Police Department, AR"
"Washington Parish Sheriff's Office, LA"
"Jackson Police Department, KY"
"Cocke County Sheriff's Department, TN"
"Fisher County Sheriff's Department, TX"
"Ogden Police Department, UT"
"Hardin County Sheriff's Department, OH"
"Washita County Sheriff's Office, OK"
"Washington County Sheriff's Office, KS"
"Leslie County Constable's Office, KY"
"Converse County Sheriff's Office, WY"
"Falls County Constable's Office - Precinct 6, TX"
"Harford County Sheriff's Office, MD"
"Bethel Police Department, NC"
"Duval County Sheriff's Department, FL"
"Colorado Department of Corrections, CO"
"Clay County Sheriff's Office, KY"
"Fayette County Constable's Office, WV"
"Breathitt County Jail, KY"
"Huerfano County Sheriff's Office, CO"
"Red Springs Police Department, NC"
"Liberty County Sheriff's Department, FL"
"Putnam County Sheriff's Department, TN"
"Constantine Police Department, MI"
"Falls City Police Department, NE"
"McIntosh County Sheriff's Office, GA"
"Sedan Police Department, KS"
"Clarendon County Magistrate's Office, SC"
"Concord Police Department, NC"
"Beebe Police Department, AR"
"Stamping Ground Police Department, KY"
"Dalton Police Department, GA"
"Inez Police Department, KY"
"Charleston Department of Public Safety, MO"
"Northern Pacific Railroad Police Department, RR"
"Red Bank Police Department, NJ"
"Titusville Police Department, PA"
"Hicksville Police Department, OH"
"New Haven Township Police Department, OH"
"Middleburg Police Department, VA"
"Union County Sheriff's Department, IA"
"Alexandria Police Department, IN"
"South Carolina State Dispensary Commission, SC"
"Corbin Police Department, KY"
"Irvine Police Department, KY"
"Citrus County Sheriff's Office, FL"
"Jefferson County Sheriff's Department, FL"
"Lauderdale County Constable's Office, TN"
"Howell County Sheriff's Department, MO"
"Pennsylvania State Constable - Washington County, PA"
"St. Clair County Sheriff's Department, IL"
"Letcher County Sheriff's Department, KY"
"Empire City Marshal's Office, KS"
"Louisiana Police Department, MO"
"McDowell County Sheriff's Department, WV"
"Chilton County Sheriff's Department, AL"
"Greensville County Sheriff's Office, VA"
"Boonville Police Department, MO"
"Birmingham Police Department, AL"
"Schenectady Police Department, NY"
"Hot Springs Police Department, NC"
"San Augustine County Sheriff's Office, TX"
"Windsor County Sheriff's Office, VT"
"Davis Police Department, OK"
"Morris County Sheriff's Office, KS"
"Grand County Sheriff's Department, UT"
"Carrollton Police Department, GA"
"Carmel Police Department, IN"
"Pikeville Police Department, NC"
"Galena Police Department, KS"
"Hunt County Constable's Office - Precinct 1, TX"
"McDonald County Sheriff's Department, MO"
"Hancock County Sheriff's Department, TN"
"Screven County Constable's Office, GA"
"Dunmore Borough Police Department, PA"
"Platte County Sheriff's Department, MO"
"Marshall Police Department, MO"
"LaCrosse Police Department, WI"
"Calcasieu Parish Sheriff's Office, LA"
"Georgetown Police Department, SC"
"Rulo Police Department, NE"
"Park County Sheriff's Office, MT"
"Chambers County Sheriff's Office, TX"
"Bastrop County Constable's Office - Precinct 2, TX"
"Cobleskill Police Department, NY"
"Lake City Police Department, FL"
"Hannibal Police Department, MO"
"Gulfport Police Department, MS"
"Silver Bow County Sheriff's Department, MT"
"Graves County Sheriff's Department, KY"
"Abbeville County Sheriff's Department, SC"
"Reno County Sheriff's Office, KS"
"Coahoma County Sheriff's Office, MS"
"Kent County Sheriff's Office, RI"
"Madison County Sheriff's Office, MT"
"Madisonville Police Department, KY"
"Metropolis Police Department, IL"
"Chaves County Sheriff's Department, NM"
"Alexander County Sheriff's Office, IL"
"Lafayette County Sheriff's Office, FL"
"Donalsonville Police Department, GA"
"Stanley Police Department, WI"
"Calaveras County Sheriff's Office, CA"
"Pawnee County Sheriff's Office, OK"
"Randolph County Sheriff's Office, AR"
"Mobile Police Department, AL"
"Turtle Creek Borough Police Department, PA"
"Danville Police Department, KY"
"Cumberland Police Department, RI"
"Pine Bluff Police Department, AR"
"Modoc County Sheriff's Office, CA"
"Honolulu Police Department, HI"
"Lawrence Police Department, KS"
"Webster Parish Sheriff's Office, LA"
"Advance Police Department, NC"
"Arlington Police Department, MA"
"Humboldt Police Department, IA"
"Bell County Sheriff's Department, KY"
"Berkshire County Sheriff's Office, MA"
"Hardin County Sheriff's Department, KY"
"Elkins Police Department, WV"
"Shelby Police Department, NC"
"Latah County Sheriff's Department, ID"
"Toms Creek Police Department, VA"
"Cripple Creek Police Department, CO"
"Pennsylvania State Constable - Monroe County, PA"
"Huntsville Police Department, TX"
"Arizona Rangers, AZ"
"Monroe County Sheriff's Office, FL"
"Tuscumbia Police Department, AL"
"Christian County Sheriff's Office, KY"
"Mobile and Ohio Railroad Police Department, RR"
"Cosmopolis Police Department, WA"
"United States Department of Justice - Federal Bureau of Prisons, US"
"Albert City Marshal's Office, IA"
"Chelsea Marshal's Office, IA"
"Gadsden County Sheriff's Office, FL"
"Burnet County Constable's Office - Precinct 1, TX"
"Pineville Police Department, LA"
"Mingo County Constable's Office, WV"
"Puerto Rico Police Department, PR"
"Natrona County Sheriff's Department, WY"
"Caddo County Sheriff's Office, OK"
"Moweaqua Police Department, IL"
"Chester Police Department, PA"
"Johnson County Sheriff's Office, AR"
"Jefferson County Sheriff's Office, WI"
"Illinois Department of Conservation - Division of Law Enforcement, IL"
"Russell County Sheriff's Office, VA"
"Vina Township Constable's Office, CA"
"Everett Police Department, MA"
"Talbot County Sheriff's Office, MD"
"Colbert County Sheriff's Department, AL"
"South Fulton Police Department, TN"
"Waterloo Police Department, IA"
"Fallsburg Marshal's Office, KY"
"Henderson County Sheriff's Office, KY"
"Smithfield Police Department, VA"
"Fulton County Office of Inspector of Roads and Bridges, GA"
"Fulton County Sheriff's Office, GA"
"Wise County Sheriff's Office, VA"
"Adel Police Department, GA"
"Oregon Department of Corrections, OR"
"McKinney Police Department, TX"
"Stark County Sheriff's Office, OH"
"Morgan County Constable's Office, KY"
"Jefferson Police Department, IA"
"Monroe County Sheriff's Office, AL"
"Roger Mills County Sheriff's Office, OK"
"Everett Police Department, WA"
"Jersey Central Railroad Police Department, RR"
"Swainsboro Police Department, GA"
"Aiken County Sheriff's Office, SC"
"Coalton Police Department, WV"
"Dickenson County Sheriff's Office, VA"
"Knoxville Police Department, KY"
"Granite City Police Department, IL"
"Webb City Police Department, MO"
"Galesburg Police Department, IL"
"Donora Borough Police Department, PA"
"Narragansett Police Department, RI"
"Coopers Police Department, WV"
"United States Department of the Treasury - United States Secret Service, US"
"Monona County Sheriff's Department, IA"
"Port Arthur Police Department, TX"
"Cumberland County Sheriff's Office, NJ"
"Kentwood Police Department, LA"
"Scofield Marshal's Office, UT"
"Blossom Police Department, TX"
"Lenox Constable's Office, NY"
"Independence Police Department, KY"
"Kenton County Sheriff's Office, KY"
"Watauga County Sheriff's Office, NC"
"Warwick Police Department, RI"
"Nicholls Police Department, GA"
"Seneca Falls Police Department, NY"
"Pittsburg Police Department, KS"
"Lima Police Department, OH"
"Olla Police Department, LA"
"Morehouse Police Department, MO"
"St. Charles Parish Sheriff's Office, LA"
"Cassopolis Police Department, MI"
"Punta Gorda Police Department, FL"
"Johnson County Sheriff's Office, GA"
"Lane County Sheriff's Office, OR"
"Thurston County Sheriff's Department, WA"
"Bangor Police Department, ME"
"Waterbury Police Department, CT"
"Marion County Sheriff's Office, KY"
"Howe Police Department, TX"
"McDonough County Sheriff's Office, IL"
"Henderson Police Department, NC"
"Bakersfield Police Department, CA"
"Rawlins Police Department, WY"
"Jefferson County Constable's Office - Precinct 1, TX"
"Wardell Police Department, MO"
"East St. Louis Police Department, IL"
"Dimmit County Sheriff's Department, TX"
"Logan County Sheriff's Office, OK"
"Douglas Police Department, AZ"
"Wilkinsburg Borough Police Department, PA"
"Eagle Lake Police Department, TX"
"Valley County Sheriff's Office, MT"
"New Rochelle Police Department, NY"
"Olive Hill Police Department, KY"
"Centralia Police Department, WA"
"Geary Police Department, OK"
"Greensburg Police Department, PA"
"Big Horn County Sheriff's Office, WY"
"Stonega Police Department, VA"
"Calaveras County Constable's Office, CA"
"California Department of Corrections and Rehabilitation, CA"
"Bristol Police Department, TN"
"Grand Trunk Railroad Police Department, RR"
"Illinois Central Railroad Police Department, RR"
"Richlands Police Department, VA"
"Dickenson County Constable's Office, VA"
"Pulaski County Constable's Office, KY"
"Chicago, Rock Island and Pacific Railway Police Department, RR"
"North Vernon Police Department, IN"
"Attalla Police Department, AL"
"Loudon County Sheriff's Department, TN"
"Harrison County Constable's Office - Precinct 4, TX"
"Harney County Sheriff's Department, OR"
"Bartlesville Police Department, OK"
"Mineola Police Department, TX"
"Flushing Police Department, OH"
"Knob Noster Police Department, MO"
"Morgan Park Police Department, IL"
"Weston County Sheriff's Office, WY"
"Summit Police Department, MS"
"Starke Police Department, FL"
"Madison Police Department, AL"
"Fairmount Police Department, IN"
"Blairsville Borough Police Department, PA"
"Suffolk County Sheriff's Office, NY"
"Ringwood Police Department, OK"
"Cherryvale Police Department, KS"
"Louisiana Department of Corrections, LA"
"Troy Police Department, ID"
"La Crosse Police Department, KS"
"Coyle Police Department, OK"
"Middlesboro Police Department, KY"
"Anderson County Sheriff's Department, TN"
"Winnfield Police Department, LA"
"Clinton County Sheriff's Office, PA"
"Springfield Police Department, OH"
"Key West Police Department, FL"
"Bloomfield Police Department, MO"
"Arroyo Grande Police Department, CA"
"Adair County Regional Jail, KY"
"Lawton Police Department, OK"
